[2024-03-12 21:51:31,640: INFO: main: Welcome to custom log]
[2024-03-13 00:16:46,863: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-13 00:16:46,865: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-13 00:16:46,866: INFO: common: created directory at: artifacts]
[2024-03-13 00:16:46,867: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-13 00:17:32,523: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-13 00:17:32,526: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-13 00:17:32,527: INFO: common: created directory at: artifacts]
[2024-03-13 00:17:32,528: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-13 00:17:32,529: INFO: 289517364: Downloading data from https://drive.google.com/file/d/1uaj1QQz-nBTJ6XHItMeaPzFNGrBbkFr4/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-03-13 00:17:55,882: INFO: 289517364: Downloaded data from https://drive.google.com/file/d/1uaj1QQz-nBTJ6XHItMeaPzFNGrBbkFr4/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-03-13 00:32:33,842: INFO: main: >>>>>>> stage Data Ingestion Stage started <<<<<<<<]
[2024-03-13 00:32:33,844: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-13 00:32:33,844: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-13 00:32:33,844: INFO: common: created directory at: artifacts]
[2024-03-13 00:32:33,844: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-13 00:32:33,844: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1uaj1QQz-nBTJ6XHItMeaPzFNGrBbkFr4/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-03-13 00:32:58,121: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1uaj1QQz-nBTJ6XHItMeaPzFNGrBbkFr4/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-03-13 00:33:05,395: INFO: main: >>>>>>> stage Data Ingestion Stage completed <<<<<<<<]
